BM,VM,BH,AS,DC,EN,AP,LN,GS,ME,GC,LH,PE,PS,MD1,LC,EE,AF,LB,MD2,CP,UT,R,US
7,23,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,8,5,0,0
9,17,7,15,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,6,18,0,0
15,29,0,32,0,1,0,1,4,1,0,0,0,0,2,0,0,0,0,0,18,18,0,0
21,40,1,27,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,11,7,0,0
26,27,5,14,0,0,0,7,1,0,3,0,0,0,1,0,0,0,0,0,8,10,0,0
15,20,0,22,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,9,8,0,0
3,25,0,35,2,0,0,3,1,0,1,0,0,0,6,0,0,0,0,5,33,10,0,0
1,18,0,21,1,1,0,3,8,0,1,0,0,0,4,0,0,0,0,1,26,5,0,0
0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
21,45,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1
30,69,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0
37,71,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0
36,137,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0
17,42,0,27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0
4,91,0,16,5,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,10,3,0,1
2,97,1,24,3,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,19,6,0,0
8,42,1,37,0,0,0,5,4,0,0,0,0,0,0,0,0,8,0,0,5,19,0,0
19,67,2,32,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,10,11,0,0
19,136,9,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0
13,27,1,20,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,9,1,0,0
16,11,4,24,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,4,13,5,0,0
3,15,0,13,0,0,0,10,6,0,0,0,0,0,2,0,0,0,0,34,60,6,0,0
